,review,sent,sent_pred
,mantab baang telah diterima dengan baik terimakasih om     ,1,1
,fast response fast shipping recomended seller       ,1,1
,barangnya kurang item ga teliti highlighter pesen dikirim kecewa padahal barangnya aku suka,0,0
,bahanya tipis tetapi oke sesuai harganya       ,0,0
,ga bisa dipakai fd nya masukin data error terus udah gitu tiba data,0,0
,harga murah tetapi pengiriman nya lama pakai banget kualitas produk oke  ,0,0
,mantap joy           ,0,1
,cheap price but high quality working not bad     ,1,0
,berfungsi normal           ,1,1
,u beras oke tetapi tidak ada hadiah potabe nya    ,0,0
,oghkeyy baguss bangeett akuu sukaa syekalih sangat cocok dibadan ku ukuran xl nya,1,1
,barang rusak di jual parah bgt lau yg bisa ke pake cuma earphone,0,0
,bagus sesuai pesan oke         ,1,1
,gak dpt anduknya harusnya di ganti tuh gambarnya jdi bikin berharap  ,0,0
,ngantarnya cepat secepat transfer data cuma jumlah memorynya ga sebanyak itu  ,1,0
,barang cepat sampai packing rapih ty       ,1,1
,kurang puas sama servis kurir ditny posisi mana respondnya iya pasti usaha antar,0,0
,bagus bangett rajutannya rapi parah        ,1,1
,semua bonus ok tapi flask disk cuma gb g sesuai dengan iklan kecewa,0,0
,terima kasiih pashmina n bros nya cantikk bgt pngiriman cepat respon nya juga,1,1
,bungkus rapi dan kurir bersahabat        ,1,1
,bahan agak tipis ya kirain tebal harga produk baik cepat kirim baik ,0,1
,pengiriman cepat dan barang sudah dicoba ukuran pas     ,1,1
,datang lama banget tidak rekomend jual       ,0,0
,dear handphone tiam ah awalnya saya udah senang dan excited banget karena response,0,1
,susu promo sudah sampai meski agak lama proses terima kasih jual  ,0,1
,pesanan sesuai disertai stiker hologram ea tetapi belum saya coba karena sudah terlanjur,0,0
,bagus akurat timbanganya hari sampai ke bogor pakai jasa reguler   ,1,1
,barang ga bisa di pake gimana dong saya mau tuker tolong dongg punya,0,0
,barang sesuai pesanan ok         ,1,1
,kualitas produk baik ori harga produk baik kecepatan pengiriman baik   ,1,1
,rip samsung young banyak jasa kamu dengan saya     ,0,0
,barang bagus kualitas baik dan tinggal menunggu hadiah hooq nya   ,1,1
,barang sangat luar biasa saking luarbiasanya sampe sekarang ga nyampe seminggu sudah mantaf,0,0
,barang bagus pengiriman super cepat cm hari langsung sampai    ,1,1
,casannya gak bs ngisi dan batre nya cpt habis    ,0,0
,agak bermasalah tidak semua komputer bisa buka      ,0,0
,lama nyampai           ,0,0
,yang ini saya kasih bintang saja ya bkanx brangnya tidak bagus tetapi karena,0,0
,brg cpt smpe packing rapi brg tidak brfungsi normal alias tidak bisa dipakai,0,0
,barang bagus emang sy tuk tv led selalu pake merk coocaa yg sy,1,1
,kata gb yang ada gb hadeh ini kenapa     ,0,0
,dahulu hp samsung chat ini primadona banget waktu pertama kali release bisa bbm,0,1
,walaupun pengiriman nya lama hari tapi saya puas dengan produk nya tv nya,1,0
,barang sampai dengan baik sepatunya nyaman dipakai designnya juga keren   ,1,1
,okelah bagus           ,1,1
,kalah            ,0,0
,chevy pasti autobots nmax pasti cicilanya masih jauh avanza cicilanya masih lama ,0,0
,pernah hampir ketabrak mobil dan itu mobilnya ngebut     ,0,0
,mantabs lazada x jne hari nyampek ke jayapura papua terimakasih banyak  ,1,1
,sangat disayang kan barang yg saya terima kondisi panel pecah menurut saya mungkin,0,0
,bagus dan berfungsi dengan baik semoga sukses ya gan    ,1,1
,produk bagus sesuai deskripsi packing baik       ,1,1
,thanks tinta nya sudah sampai        ,1,1
,ini saya pesen tanggal trus tanggal katanya udah proses pengiriman tapi sampe sekarang,0,0
,mantab sesuai gambar recommended         ,1,1
,makasih udah fast respond         ,1,1
,original dengan fitur fingerprint dan windows original bonus tas ransel asus charger simpel,1,1
,seperti sabtu minggu jadi id tidak ada emas pesan dahulu pesan sekarang besok,0,0
,barang yang datang rusak         ,0,0
,mohon untuk update status barangnya apabila stok kosong     ,1,0
,mohon bantuannya karena hardisk yang saya terima tidak bisa untuk menyimpan data maupun,0,0
,barang sesuai stick nya jalan lancar       ,1,1
,pengiriman tergolong cepat pesan kamis malam sabtu siang sampai respon penjual juga bagus,1,1
,pas mantapp           ,1,1
,pembatalan pengiriman sepihak dari kenkez        ,0,0
,semua terima dalam kondisi baik harga lebih murah tambah diskon dari eleven ,1,1
,tidak ada micloud          ,0,0
,terkirim dengan aman tanpa pecah dan berjalan lancar semua    ,1,1
,bajux jelek tipis kecil ga sesuai ukuran anak     ,0,0
,barang sudah sampe a keren dan nyaman di pake ukuran juga pas suksek,1,1
,waah alhamdulillah tidak mengecewakan packing rapi barang berkualitas thanks seller and lazada tingkatkan,1,1
,barang nya oke lah tapi kapasitas nya bohong gaka sampai gb begitu cek,0,0
,kirim nya lama karena jne nya maybe kirim saya pikir bakal pakai kotak,0,0
,lampu mantap kirim semua sudah cek oke      ,1,1
,barang cepat sampai tapi earphone tidak berfungsi sebelah     ,0,0
,soal barang saya belum cobaudh begitu klw mau tanya masalah refund batas berapa,0,0
,thanks flashdisk nya sangat membantu bgt dlm penunjang aktifitas saya saran saya utk,1,1
,kecewa sekali barang tidak sesuai dengan deskripsi dan tidak berfungsi dengan baik ,0,0
,barang sudah diterima dengan baik cuma latar jamnya lebih ungu pada foto toko,1,1
,bahannya bagus bgt tebel barang cepet bgt sampenyaa agak kegedean sii ukuran xl,1,1
,produk sepatu sangat nyaman desain bagus bahan bagus sol lembut ukuran sesuai finishing,1,1
,barang salah kirim ongkos kirim bolak balik nya sama kyk harga spatu nya,0,0
,kualitas nya sangat sangat sih minta habis catok langsung balik ke bentuk mula,0,0
,pengiriman cepat packing rapi semoga awet       ,1,1
,bodoh            ,0,0
,aneh yg dikirim beda         ,0,0
,takut            ,0,0
,iphone x seperti perlu tunggu tahun lagi sampai body nya lebih tarik bongsor,0,0
,pengiriman cepat packaging rapih terima kasih banyak      ,1,1
,barang kurang presisi melar dan longar seperti barang bekas mohon untuk kualitas check,0,0
,peking rapi pedagang cepat tangap cerdas dan menghargai pembeli    ,1,1
,charger tidak berfungsi          ,0,0
,dikirim produk yg beda mau retur males ribet     ,0,0
,sesuai pesan packing mantap         ,1,1
,lumayan bagus harga lebih irit dan mudah di mengerti    ,1,1
,celana y bagus anak aku suka banget terima kasih ya   ,1,1
,sayang nyata saya salah beli yang ini tidak ada jepit jadi harus pakek,0,0
,barang sudah sampai respon cepat terimakasih       ,1,1
,tulisan original tapi baru x dipake udh ngadet posisi kanan sama kiri ketuker,0,0
,karna barang datang g sesuai yg si harapkan warnanya doble   ,0,0
,barang sudah dtng tp sya kecewa krna minta yg karakter payung hallo kity,0,0
,sellernya kurang fast respon         ,0,0
,baru sekali ini saya beli online sama jakarta kirim lama   ,0,0
,barang ok tpi kok kya ada garisnya gtu yah mudahn awet aja biar,0,1
,pesanan tidak sesuai warna salah ukuran salah jelek banget mahal jelek retur malah,0,0
,barangnya bagus tidak ada cacat dan juga pengiriman sangat cepat kemarin sore pesan,1,1
,barang sesuai pesanan dsn invoice nya juga dikirim good sller gan  ,1,1
,terima kasih paketnya sudah sampai        ,1,1
,brg cpt trkrm brg ok cuman isi tdk sesuai dgn kapasitas yg smula,1,0
,lubang kamera tidak sesuai dengan gambar       ,0,0
,sorry baru kasih ulasan barang udah sampe sesuai estimasi tp belom dicoba semoga,1,1
,tengkyu barang baguss          ,1,1
,cakepp bangett makasi yaa seller ramah fast response     ,1,1
,kurang puas barang yg saya terima tv nya suka mati sendiri suaranya jga,0,0
,waktu kode aktivasinya dimasukkan untuk pengaktifan tech titannya malah gak valid dan dapat,0,0
,pengirimannya lama sy jd kecewa tol k dpnnya di perhatikan lg agar pelangan,0,0
,kurang enak rasa tetapi lumayan        ,0,0
,reasonable            ,1,1
,barang bagus tetapi tidak bisa dapat bonus padahal sudah klik pilih hadiah nyata,0,0
,cakap tidak ada di mana cuma dilated jdid     ,0,0
,sumpaah keren syukaa syukaa syekalii masya allah      ,1,1
,barang sudah sampai bagus cpat sampai ok trimakasih     ,1,1
,produknya mantap pelayanan juga baik        ,1,1
,pengiriman cepet banget cuma sehari aja barang bagus pelayanan ramah   ,1,1
,flashdiaknya gk bisa ngesave film gmn neh      ,0,0
,mohon maaf ini saya mau complain kemana ya kok mau kirim pesan ke,0,0
,alhamdulillah barang udh sampai tujuan ke sy tp sy sedikit agak kecewa bngt,0,0
,jahitan sambung semua termasuh dibagian selangkangannya gak nyaman untuk anak   ,0,0
,barang working properly hadiahnya juga lumayan terima kasih     ,1,1
,begitu datang di coba lampu tidak nyala pengenbalian barang tidak jelas  ,0,0
,baguss cuma pengirimannya saja lumayan lama ampir minggu tapi flashdisk nya gabisa pake,0,0
,pelayanan dan barang          ,1,1
,mantap packing rapih          ,1,1
,jangan mau beli sini nanti ketagihanterima kasih ya ram gb dr it works,1,1
,barang ok bgt mantab         ,1,1
,bahan super adem npanjangnya pas tb npertama kali beli disini tp puas nyg,1,1
,cepat sampai an pakingannya mantap        ,1,1
,a a a kena tipu barang beda merk order sunco yang datang sania,0,0
,ga kbaca di tv led transfer selow melow yaahh gimana lagi next time,0,0
,diterima dalam kondisi rusak seperti pada gambar      ,0,0
,fast respond mantapp deh gan sukses terus terima kasih jne terima kasih penjual,1,1
,terima kasih responmya cepat dan pesanan cepat sampai juga nsekali lagi terima kasih,1,1
,gratis an nya mantul pengiriman tepat waktu barang datang dengan selamat  ,1,1
,liburan yuk info hotel murah bali water sport rent car dahulu serba murah,1,1
,bahan berbeda lain kali lebih konsisten       ,0,0
,flashdiks corupt dijual          ,0,0
,pengiriman terburuk udah bayar ongkir super lelet melebihi proses kurir jd id nyesel,0,0
,paket udh diterima tpi blm dicoba mudahan awet dan normal klo bagus nanti,1,1
,saya pertama kali beli celana ini tadinya sempet ragu karena takut kekecilan ragu,1,0
,barang kualitas jelek baru dipake ud ga bs baca    ,0,0
,menu di cctv tidak fungsi        ,0,0
,barangg bagus           ,1,1
,ini digital tidak          ,0,0
,suaranya bagus bgt lebih baik dripada qkz ak punya saya   ,1,1
,barang sampai dengan baik pengiriman sesuai estimasi packing dengan kayu tv terjangkau dengan,1,1
,ada masalah di bagian audio pakai aux mm saat mode hdmi suara bocor,0,0
,bagus banget sepatunya kualitas nya mantap selalu puas belanja di azarenka  ,1,1
,byr tgl barang dtg tgl cepet banget padahal estimasi tgl   ,1,0
,alhamdulillah bagus dipake cantik kualitas bahan ok enak dipake adem suka uf ,1,1
,karena mau lebaran jadi lama sekali ya      ,0,0
,respon jual tidak baik ya ampun kalau ngomong susah baik kasih standar ,0,0
,barang lumayan cepat sampai belum di coba sih smoga bagus terima kasih ,1,1
,produk sesuai dengan gambar suka banget       ,1,1
,bertahan kurang dr bulan dah koit kurang beruntung kayaknya    ,0,0
,baguuss bangett celana jeans popaye nya ori pokok nya bahan mantul  ,1,1
,makasih lazada tvnya mantull rekoment utk seler      ,1,1
,apakah real capacity gb berani tes dengan htes untuk tes capacity  ,0,0
,tidak lengkap saya minta tukar atau kembali uang     ,0,0
,ini pesenan yang kedua mantap service nya tetep bagus keren   ,1,1
,produk sesuai pesanan packing bagus pengiriman cepat      ,1,1
,tulisan sih g kenyataan nya setelah diceck cuma g sudah saya format ulang,0,0
,pengiriman cepat memory cardnya ori kecepatan transfernya juga cepat memuaskan   ,1,1
,mantap gan barang cepat sampai packing bagus barang ok berfungsi dwngan baik ,1,1
,lampu nyalah tetapi tidak ada garansi ya oke     ,0,0
,supeerr cuantikk koleksi nyaa bunda nga pnh nyesel beli disini nhrg terjangkau lucu,1,1
,barang sampai dengan selamat sesuai pesanan saya tp klo bs cara packing nya,1,1
,kurang kekar spednya tidak kencang        ,0,0
,packing rapih respon cepat tepat waktu sampai barang     ,1,1
,size nya tidak sesuai pesanan        ,0,0
,celaka dekat stasiun cawang avanza tabrak empat motor     ,0,0
,sudah sampai hanya sebelah yg bersuara terimakasij      ,0,1
,bagus tebel thanks          ,1,1
,pengiriman cepet kualitas lumayan oke space nya lumayan gede selain bisa diisi hdd,1,1
,produk cepet bgt sampainya sesuai gambar penjual ramah trimakasih dan sukses terus ,1,1
,saya pesan biru kok yang dtg warna navy     ,0,0
,pecah ban avanza tabrak dua motor dan pohon di pingir jalan oleh imam,0,0
,jelek tidak berfungsi lcd pecah cacat kecewa sekali membeli barang disini tolong panduan,0,0
,bagus banget dapat flasdisk dan otg harga mantap     ,1,1
,barang sampai sangat cepat diterima dengan selamat sesuai pesanan    ,1,1
,bagi yang ingin eksperimen men tuning driver dari hd i ini karena kecewa,0,0
,saya belum terima barang tetapi knapa laporanya barang telah terima   ,0,0
,pesen lihat gambarnya yg putih si tp yg dteng hitam   ,0,0
,tv diterima dengan kondisi bagus pengiiman cepet cuman hari    ,1,1
,tidak berfungsi saya coba diberbagai komputer tidak bisa koneksi dengan flashdis kecewa ,0,0
,sangat amat kecewa hardisk tidak bisa terbaca sama sekali oleh komputer walaupun sudah,0,0
,barang sesusi dengan spec yg kita inginkan      ,1,1
,menunggu lumayan melelahkan          ,0,0
,makasih banyak           ,1,1
,barang dah sampai boss sesuai pesanan makasih      ,1,1
,dapat pas promo harga murah tetapi tumben pengirimannya lama tidak seperti biasanya ,0,0
,hari ini estimasi hari terakhir tolong kirim baru kali ini kecewa dengan layanannya,0,0
,lampu mati           ,0,0
,fast response interactiv good seller        ,1,1
,mantap murmer bahan bagus         ,1,1
,good job lazada makasih buraq shop i like it    ,1,1
,trm ksih lazada tv d trm sesuai orderan hr lsg sampai thx y,1,1
,kurang puas ada produk lama        ,0,0
,produk ini buatan cina         ,0,0
,mantap biar bintang berbicara         ,1,1
,flashdisk nya agak kurang mantap saat dikoneksikan dg handphone tidak dapat dibaca ,0,0
,suka perih pas di kelopak mata npadahal tidak ada yang luka npake brand,0,1
,barang sudh di sampai dengan aman       ,1,1
,terimakasih barang sudah diterima dan di cek berfungsi dengan baik dan istri suka,1,1
,sorii flashdisk kagak sesuai isinya gb yg di kirim gb jauh bnget gan,0,0
,respon dan pengiriman cepat barang sesuai foto      ,1,1
,barang rusak namun akan lebih baik apabila direfund     ,0,0
,kirim mohon di tingkat         ,0,0
,pesanan cepat sampai bagus         ,1,1
,gak ori nih          ,0,0
,yang dipesan gb yang tiba gb penipuan ini namanya    ,0,0
,bagus bahan adem cocok utk anak² thanks      ,1,1
,pesanan sudah sampai terima kasih tapi sayang pesan hitam dikirim putih dikira sepasang,0,0
,pelayanan kurang memuaskan slow respon sangat       ,0,0
,untuk harga segini overal masih sepadan ukuran sesuai tetapi bhn tidak terlalu bagus,0,0
,kerugian            ,0,0
,terima kasih npengrimnya cepat barangnya bagus dan sellernya ramah sekali ni like it,1,1
,untuk hrg segitu ok         ,1,1
,powdernya benar kurang sebum wajah suka       ,0,0
,aneh pesan sania yang datang filma semua      ,0,0
,mmc bisa dipakai dan ada adapter       ,1,0
,saya msen yng gb knp dtg nya gb     ,0,0
,kurang asa telur asi lebih flat ke asin     ,0,0
,barang sudah di terima bagus terimakasih       ,1,1
,beli tdk bs dipakai semua        ,0,0
,biasa pakai size saya udah lebihkan no diatasnya tapi tetap kecil bgt celananya,0,0
,dituduh            ,0,0
,realnya gb tapi ga papalah mdhan awet      ,1,1
,mashaa allah gokil sih dari bandung ke tangsel hari sampe worth it banget,1,1
,terima kasih fast responn         ,1,1
,packing ok mantap cuma kecil sekali ya gan bayangan saya tdk sekecil itu,1,0
,kurang puas karena saya pikir saya order hanya dpt bandana ternyata zonk ,0,0
,kenapa chargernya tidak lengkap g bisa langsung dipakai buat charger kita harus nyari,0,0
,alhamdulillah puas puas puas barokallahu fiyk blanja berkali sll puas   ,1,1
,produk bagus sesuai pic respon dan pengiriman cepat sukses selalu ya  ,1,1
,bagus suara jelas barang tidak ada cacad      ,1,1
,ordernya gunting biasa gunting sasak sisir dikasihnya beda lain kali diperhatikan ya pesanan,0,0
,duakali beli disini karna bagus bgtt       ,1,1
,barang sih oke tetapi kurir nya itu cepat banget sudah itu saja ,1,0
,proses pengiriman lambat bukan dr ekspedisinya       ,0,0
,tidak bisa pake nelpon berdengung suara mic nya     ,0,0
,minyak sehat           ,1,0
,barangnya udh sampe order tgl barang sampe mgkn krna kepotong hari lbur ngga,1,0
,barang dbungkus kardus rapi cuma ada satu kaleng yang sedikit penyok dipingir ,0,0
,bagus bahannya sesuai dg gambar amp ekspetasi      ,1,1
,barang palsu isi dalam cuma rangkaian lampu led tidak ada itu namanya gelombang,0,0
,tidak sesuai sesuai dengan pesanan mengecewakan sekali      ,0,0
,saya klik harga rb malah jadi harga normal     ,0,0
,barang datang dgn baik semoga awet       ,1,1
,topinya bagus pengiriman cepat         ,1,1
,nggk ada cd raw a padahal d gambar ada sama plug buat ke,0,0
,flashdisk bekas kayanya yang dikirim kaga cepet koneksi agak kendor dan kurang pas,0,0
,mantul makasih bos          ,1,1
,produk diskon tapi kualitas juga diskon produk tidak tersegel pas komplain admin bilang,0,0
,paket baru saya terima setelah dicek layar tv pecah tolong untuk di ganti,0,0
,pengiriman cepat packingan ok barang sesuai ekspektasi sangat puas thanks lazada  ,1,1
,pengiriman cepat terima baik dengan bubble warp tanpa packing kayu gambar di deskripsi,0,1
,produk bagus oke pengiriman cepat packaging oke pesanan sesuai    ,1,1
,atack liquid clean maximizer saat ini jadi solusi cuci andal maximal bersih tidak,1,0
,ok sesuai           ,1,1
,baguss pengiriman cepat barang ori pasti kalau cocok ku bakal langganan  ,1,1
,barang yg diterima sesuai dgn yg difoto      ,1,1
,barang sudah saya terima tetapi kenapa di dalam paket yang saya terima tidak,0,0
,kualitas ok mantap          ,1,1
,telah sampai di rumah langsung saya keluar dari kotak eh nyata headphone ini,0,0
,saya suka bagus gag nyesal deh       ,1,1
,untuk ukur yang mini tetapi jabra clasic sangat worth it untuk milik dengan,0,1
,legendary            ,1,1
,sedikit kecewa ukurannya kekecilan jadi g bisa kepakai     ,0,0
,yg kebaca di hp cuma gb tapi packing pengiriman produk semua nya bagus,1,1
,kurang maksimal hasilnya karena bahannya terbuat dari plastik     ,0,0
,terimakasih untuk seller yg sangat bertanggung jawab meskipun sedih warnanya beda tetapi salut,1,0
,bisa byr d tempat ga        ,0,0
,produknya kw mudah rusak         ,0,0
,tidak sesuai sama yg di pesan warna nya     ,0,0
,mas barang rusak jjangan di kirim dong      ,0,0
,difoto biru yg dkrm kuning parah       ,0,0
,di telp pihak pengirim katanya barang lecet y sy tolak daripada tdk terpakai,0,0
,alhamdulillah barangnya sudah sampai terimakasih selalu puas belanja disini    ,1,1
,layan dan produk          ,1,1
,barang sesuai proses pengiriman ke jne lambat      ,1,0
,bagus bgt seriuss bahannya kaya rajutan mahal nharganya juga murah buat dapetin vest,1,1
,memang laptop asus sudah menjadi andalan saya barang diterima dengan sangat baik dan,1,1
,sebelum memesan beli barang ini saya mendapatkan konfirmasi dari penjual bahwa charger ini,0,0
,meski demikian saya tetap apresiasi produk ini dalam hal waktu start up nya,0,0
,aslinya bagus banget dan nyaman pasti di pakee     ,1,1
,ini tv berapa inch sebenarnya inch inch terima kasih    ,0,0
,barang ga bs dipake bukan krn rusak ato apa tp krn produk yg,0,0
,alhamdulilah produkgratis gift nya baik ampamp sesuai hanya saja pada proses kirim harus,0,1
,ditertera free bonus botol minum ltr pas sampe ternyata tdk dpt free dicomplaine,0,0
,barang kurang bagus ada beberapa lecet kirim pun lama sekali proses sih hari,0,0
,hard disk tidak berfungsi mohon direfund       ,0,0
,telah baca user guide nya nyata pakai mixer anjur tidak lebih menit ya,0,0
,untuk barang impor kirim terlalu lama untuk barang lumayan oke sesuai dengan harga,0,0
,klw buat isi game ps bisa ga ya     ,0,0
,bahan tebal bagus dan pas ukuran nya dan adek saya juga suka dan,1,1
,luar biasa estimasi cepat dan harga mumer tp ga murahan sesuai specknya langsung,1,1
,casenya bagus dan kuat agak besar tapi cocok karna saya mau pakai case,0,1
,barang sesuai pesanan dan gambar        ,1,1
,pengiriman sangat lama tolong klo bisa informasiin ke pembeli    ,0,0
,besar nyata cepat kenyang         ,1,0
,kesel banget blnja sini padahal beli baxk pula mau di tukar tidak bisa,0,0
,kz pertama yang saya beli kualitas suara nya sangat baik untuk harganya yang,1,0
,orang counter tukang jok kuli bangunan tukang cilok tukang sate driver grab supir,1,0
,matras tebal tas bagus moga awet       ,1,1
,bahan nya sambungan sambungan kaya dari bahan sisa di sambungin jadi kain ,0,0
,kualitas bagus kuat dipakai baca hardisk terimakasih      ,1,1
,barang tidak berfungsi          ,0,0
,paket belum saya terima kenapa disni sdh diterima     ,0,0
,kapur tidak mudah patah oke sip       ,1,0
,ini gmna sih mba tipi nya ga mau nyala bisa di tukar ga,1,0
,mungkin satu satu kurang nya adalah earpad nya kulit earpad punya saya sudah,0,0
,barang nya bagus sesuai dengan gambar       ,1,1
,pengiriman cepat barang sesuai pesanan terima kasih untuk penjual    ,1,1
,file yg dipindahin k flasdisk hilang sendiri g kepakai rugi jadinya  ,0,0
,thank barang sudah terima dengan selamat       ,1,1
,anak saya cowok di kirimkan bermotif bunga ukurannya juga kekecilan mau di coba,0,0
,barang oke dan akan dicoba dulu       ,1,1
,sayang cuma bisa per akun        ,0,0
,produk baik pengiriman lumayan smoga klo dipake gakada yang kurang dan awet amin,1,1
,bagus dan murah proses pengiriman cepat       ,1,1
,packing rapi cepat sampai cuma pas dpakai utk menyimpan data lemoott gan ,0,1
,salah kirim           ,0,0
,beluk tahu cara pakai hehehe        ,1,0
,belum tau hasil nya baru pake       ,0,0
,makasii sudah datang vest nyaa bagus sekalii gemas bahan nya bagus tebal dan,1,1
,sesuai iklan moga awet         ,1,1
,barang tidak sesuai dengan pesanan yang nyampe cuman gb    ,0,0
,duh ni gmna ko gni ga bisa di pake jadi nyh  ,0,0
,kualitas produk baiikk produk original harga produk baaiikk kecepatan pengiriman sangaat baaiikk trims,1,1
,barang okey pengriman cepet lah        ,1,1
,barang nya ga bisa berfungsi ga kebaca sama sekali    ,0,0
,baguss bngt sukaa kirain bakal kekecilan ukuran xl soalnya anak ku tinggi ehh,1,1
,keren kere aplikasi adalah aplikasi bisa pakai di semua gadget   ,1,1
,sekian sekali order di sini puas dan jual respon cepat   ,1,1
,moga makin banyak promosi nya jadi id      ,1,1
,barang blm datang tp laporannya udh datang gmn sih ini   ,0,0
,pengiriman nya lambat harus nya same day tapi malah hari   ,1,0
,ada gratis tetapi ko tidak dapat ya padahal tulisanya jelas banget  ,0,0
,pesanan sesuai barang ori packing aman thx asus lazada    ,1,1
,tv bagus sudah datang tetapi kenapa netflix tidak dapat jalan ya mohon bantuannya,0,0
,barang gak berfungsi sama sekali gmn tanggung jawab seller    ,0,0
,busa kurang dan terlalu cair        ,0,0
,pelayanan oleh penjual cepat barang sesuai dengan pesanan kualitas mantap thanks ya sukses,1,1
,samsung j kurang internal dan ram       ,0,0
,sesuai dengan harga agak kotor dikit       ,1,1
,headset bluetoth pertama tetapi sangat puas maka harga murah tetapi kualitas tidak murah,1,0
,saya pesan tulisan hanif yang datang hanib tidak ada tanggapan dari petito ,0,0
,barang telah diterima dengan baik packing rapi sesuai dengan spesifikasi telah dicoba ok,1,1
,terimaakkaasiihh mbbaakk           ,1,1
,ori dan ok          ,1,1
,estimasi diterima tgl mei eh tanggal april udah sampe thanks lazada ninja express,0,1
,menyewakan toyota alphard wilayah sekitar kota jogja harga sudah termasuk bensin dan supir,1,1
,mantaap paketnya mendarat dengan aman hehe keren lah sukses teruus   ,1,1
,layan bagus cepatsesuain permintan         ,1,1
,flashdisk kw gak bisa dipake tiap copy fildm jadi corupt   ,0,0
,sudah saya coba ke pc komputer berfungsi dengan baik semoga bisa lebih awet,1,1
,bagus bagus banget alhamdulillah nsampainya cepet tq knit me    ,1,1
,senang belanja di link live good product      ,1,1
,barang cepat sampai packing rapi dan aman terimakasih lazada seller mudah an awet,1,1
,respon dan pengiriman cepat barang sesuai terima kasih     ,1,1
,packing rapi sellernya juga ramah produk juga bagus makasih gan   ,1,1
,nyata yang kecil dan harga asli tetapi tidak jelek    ,0,0
,barang bagus cuma kirim berbelit namun akan lebih baik apabila kirim tidak berbelit,0,0
,order tanggal pake jne yes baru sampe tanggal entah salahnya dimana  ,0,0
,lumayan bagus barang nya         ,1,1
,lumayanlah untuk harga segitu mau pesan lagi harga sudah naik menunggu promo lagi,0,1
,barang bagus kualitas bagus nyaman di pakai ukuran pas seller sangat responsif dan,1,1
,barang ok sesuai dgn deskripsi layanan sangat ramah dan cepat recomended seller terimakasih,1,1
,bagus dan murah pas flahsale semoga awet aja     ,1,1
,harga produk sangatt terjangkau rekomendasii syekali       ,1,1
,barang sesuai ingin          ,1,1
,murah dan cepat pengiriman nya hari dari surabaya ke jakarta   ,1,1
,pesan laen di kirim laen        ,0,0
,halo lazada saya mau nanya itu bisa nyimpan data kan nanti kaya sony,0,0
,tv nya bagus terbaik di rentang harga jtan untuk pengiriman cepat hari smpe,1,1
,barang sudah sampau celananya nyaman dipakai cuma bahanya agak tipis sesuai harga terima,0,1
,bagus tapi otgnya ngak berfungsi        ,1,0
,sangat cepat pengiriman terima kasih        ,1,1
,barang sesuai gambar bos         ,1,1
,suami sih tidak terlalu hitung masa garansi ini beliau bilang ada garansi juga,0,0
,maaf flashdisknya tdk bs dipakai jd terpaksa sy retur    ,0,0
,terima kasih cepet pengiriman nya        ,1,1
,panci lumayan tetapi gampang lecet luar dengan harga segitu lumayan oke  ,0,1
,tebel bgt lucuu warnanya masuk pake warna inner apapun    ,1,1
,proses pairing bluetoth nya sedikit beda dengan perangkat bluetoth lain yang biasa saya,0,0
,barangny berat nya gram yg harusny gram saya penasaran isinya ap kok ringan,0,0
,ini bayar di tempat apa tidak       ,0,0
,ukuran l tidak sesuai dg ukuran standard      ,0,0
,barang datang cepat ga sampei satu minggu barang langsung d kirim kualitas tv,0,0
,gak bisa utk nelpon cuma bisa cek pulsa doang mau minta tukar ,0,0
,warna sesuai ekspektasi pet antem banget bros cantik juga lain sekali mungkin order,0,1
,saya guna dr ini untuk notebook asus as harus guna dr pc dasar,0,0
,kelindes mobil pas tiba keluar gerbang tidak minta maaf malah menyalahkan saya miara,0,0
,baju nya bagus ibu saya suka       ,1,1
,terimakasih atas kerjasamanya yang baik ya       ,1,1
,layanan pengiriman kurang memuaskan barang tdk sampai d alamat tujuan krn alamat sy,0,0
,ok banget murah lagi         ,1,1
,barang bagus murah kurir jg sopan mksh lazada     ,1,1
,parah flashdisk nya          ,0,0
,saya sangat kecewa sekali dengan barang ini karena tidak ada satupun yang berfungsi,0,0
,kecewa sama promo nya promo nya gratis ongkir tp nyata nya bayar juga,0,0
,barang masih ada gan         ,0,0
,pertama kali order brg elektronik gede alhamdulillaah aman pacaking dan expedisi mantab recomended,1,1
,barang sesuai dengan deskripsi produk dan pelayanan cepat     ,1,1
,proses kirim cepat barang baik sesuai speknya dan promonya sudah dicoba dan dipakai,1,1
,kainnya bagus motif yg dikirim beda dan bagus juga motifnya terimakasih  ,1,1
,tali sepatunya belang saya tidak suka dan tidak sesuai pesanan nmr dikirim nmr,0,0
,temanku gangguan terus pakai a series entah layarnya tiba biru gangguan kedip baru,0,0
,sudah pilih baju sesuai keinginan yang datang malah gak sesuai   ,0,0
,busanya tidak menyatu dengan kainnya jadi lari lari     ,0,0
,tolong donk seller harganya jangan dinaikin lagi kemarin gak sgitu harganya  ,0,0
,tidak dinginmendingan pakai kipas angin sekali       ,0,0
,awal bingung karena apabila ingin clone data windows dari hardisk saya ke ssd,0,0
,barang sesuai pesanan terimakasih kapan kapan order lagi     ,1,1
,lumayan smoga awet sampe tua        ,0,1
,fast respon npengiriman ok nkualitas barang ok yg pasti anak suka  ,1,1
,colok frenya tidak kepake miring lagih alhasil ai beli juga   ,0,0
,barang order pcs datang hanya pcs bagaimana yg pcs lg mohon petunjuk ,0,0
